;Pmax [MW];Pmin [MW];Emax [MWh];Emin [MWh]
Flensburg, Kreisfreie Stadt;2,6020835197166257;-3,2279508064505396;16,78179378370095;-16,764851854583668
Kiel, Kreisfreie Stadt;8,007897111450525;-9,60247997588704;53,887909355084275;-53,83946750296875
Lübeck, Kreisfreie Stadt;6,079389646887375;-8,617463086108653;47,493291762212486;-47,46051560654563
Neumünster, Kreisfreie Stadt;2,0753093062069246;-2,624822355785938;13,59652227202664;-13,583133688330518
Dithmarschen;2,514674797568973;-3,769461325015055;20,402936930362277;-20,389004802235586
Herzogtum Lauenburg;2,660831122754008;-3,6062094078236675;19,04625506319994;-19,03071508564829
Nordfriesland;6,682636220389303;-12,914903995816275;74,24192876385465;-74,21803957991088
Ostholstein;6,610631113353104;-12,960820253189643;74,66551523416695;-74,64527613380992
Pinneberg;4,822287800378976;-6,225190647217133;32,32235380958346;-32,28909351159471
Plön;2,121357486263721;-3,4792961194604515;19,01887572203079;-19,008471959516914
Rendsburg-Eckernförde;4,37174168842448;-6,098770363542174;33,02397815242112;-32,99991937038312
Schleswig-Flensburg;4,076592238443723;-5,962228834356231;32,10085520680202;-32,07670746588717
Segeberg;4,868411943782318;-6,109370290601306;31,8166888229228;-31,785055052496336
Steinburg;2,3745289020221887;-2,6243099463022053;14,181637494695504;-14,165439603514033
Stormarn;3,73339460662885;-4,88632089316307;25,496507769878143;-25,47305576146156
Hamburg;71,64504689248048;-85,22426400836262;487,8531176847961;-487,4056561629021
Braunschweig, Kreisfreie Stadt;8,225432251649398;-9,459260511595724;52,05296273449682;-51,99771770652074
Salzgitter, Kreisfreie Stadt;1,5844183970183765;-1,9887628135369781;10,462160546012907;-10,45215561940686
Wolfsburg, Kreisfreie Stadt;4,0524804575627655;-5,205456844088996;29,516317565167594;-29,492057141624485
Gifhorn;3,3737750715747836;-3,9826994533883293;22,43150878233811;-22,41014916702555
Goslar;3,5128475926077156;-6,081484402660408;34,68344644291956;-34,668669488294135
Helmstedt;1,3528736448576861;-1,759814421480474;9,29443809605002;-9,286950821117086
Northeim;2,335516015073026;-3,2323173267478578;17,337599682301462;-17,324982761481614
Peine;1,602313110166972;-2,0276078507442126;10,395198125821139;-10,384587498369092
Wolfenbüttel;1,3939989081047293;-1,7219598634646958;8,938385444526498;-8,929226442425055
Göttingen;7,932468469266794;-10,910681860071874;60,8768285417101;-60,83701469556548
Region Hannover;34,5244664783465;-40,36210182658679;228,0032989559849;-227,78766398583767
Diepholz;3,3538155926822135;-4,4185455460941645;22,879179799926106;-22,85707583510262
Hameln-Pyrmont;3,370079618920551;-4,296639004507385;23,59095307475324;-23,571925010997553
Hildesheim;4,346924101391989;-5,506040318106534;29,329392181421955;-29,30337311617983
Holzminden;0,9199752617299217;-1,2858552079350147;6,948569761796199;-6,943384966710019
Nienburg (Weser);1,6728164816748579;-2,1134287830092546;11,041124863661723;-11,029896588433616
Schaumburg;2,5069777676306844;-3,462425162858494;18,29151252923856;-18,277040551864207
Celle;3,22941954270635;-4,573533387546408;24,571884614411783;-24,5536271933326
Cuxhaven;3,4069950396587574;-5,8016828448306725;32,266628009266604;-32,250755349134664
Harburg;3,980966253755859;-5,6899191556804;30,454993219021443;-30,432098561723034
Lüchow-Dannenberg;0,8914022853488769;-1,3664677431298071;7,617758291799098;-7,6130163488080616
Lüneburg, Landkreis;3,510081736685027;-4,955233569606396;26,996787766365916;-26,976649146914607
Osterholz;1,4555499426698435;-1,8747138302797275;9,358995863640029;-9,349154562519892
Rotenburg (Wümme);2,716669781227292;-3,8552048804873174;20,675857129040736;-20,66146042684116
Heidekreis;3,2949471171872378;-6,119796203826949;34,731773865989844;-34,718851847861835
Stade;3,490265419442925;-4,293998535870636;22,771603937952317;-22,749383760975917
Uelzen;1,9418807644085105;-2,8689042786137904;15,580002091858995;-15,570812523884827
Verden;2,4972189781438523;-3,241309415693118;16,466988524674512;-16,45008494045011
Delmenhorst, Kreisfreie Stadt;1,2512057718825733;-1,475815027903465;7,210295818396855;-7,201520003805342
Emden, Kreisfreie Stadt;1,13052992193837;-1,5326765339920152;8,422107370121601;-8,415687028392824
